To,From,GSDP (Current)  (Rs. in Crore),,,,,,
India,South,26768,,,,,,
India,West,24058,,,,,,
India,Centre,23342,,,,,,
India,East,21406,,,,,,
India,North,15028,,,,,,
India,North East,3459,,,,,,
India,Union Territory,3427,,,,,,
West,Maharashtra,16631,,,,,,
Centre,Uttar Pradesh,15554,,,,,,
East,West Bengal,10345,,,,,,
South,Andhra Pradesh ,8191,,,,,,
South,Tamil Nadu,8081,,,,,,
Centre,Madhya Pradesh,7788,,,,,,
West,Gujarat,7427,,,,,,
East,Bihar,7353,,,,,,
South,Karnataka ,6210,,,,,,
North,Punjab,5025,,,,,,
North,Rajasthan ,4637,,,,,,
South,Kerala,4286,,,,,,
East,Orissa,3708,,,,,,
North,Haryana ,3386,,,,,,
Union Territory,Delhi ,2685,,,,,,
North East,Assam,2516,,,,,,
North,Jammu & Kashmir,1186,,,,,,
North,Himachal Pradesh,794,,,,,,
Union Territory,Goa ,398,,,,,,
North East,Tripura ,286,,,,,,
North East,Manipur,218,,,,,,
North East,Meghalaya,200,,,,,,
Union Territory,Pondicherry,184,,,,,,
North East,Nagaland,119,,,,,,
Union Territory,Arunachal Pradesh,107,,,,,,
North East,Mizoram,68,,,,,,
Union Territory,Andaman & Nicobar Islands,53,,,,,,
North East,Sikkim ,52,,,,,,
