To,From,GSDP (Current)  (Rs. in Crore)
India,South,4140179
India,West,3885351
India,Centre,2632717
India,North,2205889
India,East,2179739
India,Union Territory,760983
India,North East,467742
West,Maharashtra,2496505
South,Tamil Nadu,1427074
Centre,Uttar Pradesh,1375607
West,Gujarat,1320358
South,Karnataka ,1268881
East,West Bengal,1020858
North,Rajasthan ,840263
South,Andhra Pradesh ,790217
South,Telangana,752230
Centre,Madhya Pradesh,747820
South,Kerala,691994
Union Territory,Delhi ,686017
North,Haryana ,618562
East,Bihar,487628
North,Punjab,470997
East,Odisha ,415982
Centre,Chhattisgarh,291681
North East,Assam,285370
East,Jharkhand,255271
Centre,Uttarakhand ,217609
North,Jammu & Kashmir,139869
North,Himachal Pradesh,136198
West,Goa ,68488
North East,Tripura ,39815
Union Territory,Chandigarh,35383
Union Territory,Puducherry,32215
North East,Meghalaya,28997
North East,Nagaland,24089
North East,Manipur,23248
North East,Arunachal Pradesh,22912
North East,Sikkim ,22248
North East,Mizoram,21063
Union Territory,Andaman & Nicobar Islands,7368
