Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0068646,2014-04-07,2014-04-07,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1402450,1972-03-14,Francis Ford Coppola
2,tt0167260,2014-04-07,2014-04-07,,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/,movie,8.9,201,2003,"Adventure, Drama, Fantasy",1456289,2003-12-01,Peter Jackson
3,tt0111161,2014-04-07,2014-04-07,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2044812,1994-09-10,Frank Darabont
4,tt0071562,2014-04-07,2014-04-07,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",972278,1974-12-12,Francis Ford Coppola
5,tt0047478,2014-04-07,2014-04-07,,Shichinin no samurai,https://www.imdb.com/title/tt0047478/,movie,8.7,207,1954,"Adventure, Drama",276632,1954-04-26,Akira Kurosawa
6,tt0108052,2014-04-07,2014-04-07,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1058050,1993-11-30,Steven Spielberg
7,tt0034583,2014-04-07,2014-04-07,,Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",465780,1942-11-26,Michael Curtiz
8,tt0120737,2014-04-07,2014-04-07,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Adventure, Drama, Fantasy",1472906,2001-12-10,Peter Jackson
9,tt0167261,2014-04-07,2014-04-07,,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/,movie,8.7,179,2002,"Adventure, Drama, Fantasy",1316744,2002-12-05,Peter Jackson
10,tt0076759,2014-04-07,2014-04-07,,Star Wars,https://www.imdb.com/title/tt0076759/,movie,8.6,121,1977,"Action, Adventure, Fantasy, Sci-Fi",1096724,1977-05-25,George Lucas
11,tt0033467,2014-04-07,2014-04-07,,Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",356188,1941-05-01,Orson Welles
12,tt0073486,2014-04-07,2014-04-07,,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,movie,8.7,133,1975,Drama,812067,1975-11-19,Milos Forman
13,tt0110912,2014-04-07,2014-04-07,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1597747,1994-05-21,Quentin Tarantino
14,tt0047396,2014-04-07,2014-04-07,,Rear Window,https://www.imdb.com/title/tt0047396/,movie,8.5,112,1954,"Mystery, Thriller",388897,1954-08-04,Alfred Hitchcock
15,tt0057012,2014-04-07,2014-04-07,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,movie,8.4,95,1964,Comedy,406796,1964-01-29,Stanley Kubrick
16,tt0080684,2014-04-07,2014-04-07,,Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,movie,8.8,124,1980,"Action, Adventure, Fantasy, Sci-Fi",1026831,1980-05-17,Irvin Kershner
17,tt0082971,2014-04-07,2014-04-07,,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.5,115,1981,"Action, Adventure",792633,1981-06-12,Steven Spielberg
18,tt0114814,2014-04-07,2014-04-07,,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.6,106,1995,"Crime, Mystery, Thriller",886785,1995-01-25,Bryan Singer
19,tt0060196,2014-04-07,2014-04-07,,"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,movie,8.9,161,1966,Western,606963,1966-12-23,Sergio Leone
20,tt0209144,2014-04-07,2014-04-07,,Memento,https://www.imdb.com/title/tt0209144/,movie,8.5,113,2000,"Mystery, Thriller",1010976,2000-09-05,Christopher Nolan
21,tt0050083,2014-04-07,2014-04-07,,12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,8.9,96,1957,Drama,575868,1957-04-10,Sidney Lumet
22,tt0317248,2014-04-07,2014-04-07,,Cidade de Deus,https://www.imdb.com/title/tt0317248/,movie,8.6,130,2002,"Crime, Drama",630860,2002-05-18,"Kátia Lund, Fernando Meirelles"
23,tt0053125,2014-04-07,2014-04-07,,North by Northwest,https://www.imdb.com/title/tt0053125/,movie,8.3,136,1959,"Adventure, Mystery, Thriller",265719,1959-07-01,Alfred Hitchcock
24,tt0054215,2014-04-07,2014-04-07,,Psycho,https://www.imdb.com/title/tt0054215/,movie,8.5,109,1960,"Horror, Mystery, Thriller",522980,1960-06-16,Alfred Hitchcock
25,tt0038650,2014-04-07,2014-04-07,,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/,movie,8.6,130,1946,"Drama, Family, Fantasy",348229,1946-12-20,Frank Capra
26,tt0056172,2014-04-07,2014-04-07,,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,movie,8.3,216,1962,"Adventure, Biography, Drama, History, War",236382,1962-12-10,David Lean
27,tt0211915,2014-04-07,2014-04-07,,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",639333,2001-04-25,Jean-Pierre Jeunet
28,tt0102926,2014-04-07,2014-04-07,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1100799,1991-01-30,Jonathan Demme
29,tt0099685,2014-04-07,2014-04-07,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Crime, Drama",882293,1990-09-09,Martin Scorsese
30,tt0064116,2014-04-07,2014-04-07,,C'era una volta il West,https://www.imdb.com/title/tt0064116/,movie,8.5,165,1968,Western,264984,1968-12-20,Sergio Leone
31,tt0043014,2014-04-07,2014-04-07,,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,movie,8.4,110,1950,"Drama, Film-Noir",174461,1950-08-10,Billy Wilder
32,tt0169547,2014-04-07,2014-04-07,,American Beauty,https://www.imdb.com/title/tt0169547/,movie,8.4,122,1999,Drama,971915,1999-09-08,Sam Mendes
33,tt0338013,2014-04-07,2014-04-07,,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",806373,2004-03-09,Michel Gondry
34,tt0052357,2014-04-07,2014-04-07,,Vertigo,https://www.imdb.com/title/tt0052357/,movie,8.3,128,1958,"Mystery, Romance, Thriller",312247,1958-05-09,Alfred Hitchcock
35,tt0133093,2014-04-07,2014-04-07,,The Matrix,https://www.imdb.com/title/tt0133093/,movie,8.7,136,1999,"Action, Sci-Fi",1468235,1999-03-24,"Lilly Wachowski, Lana Wachowski"
36,tt0078788,2014-04-07,2014-04-07,,Apocalypse Now,https://www.imdb.com/title/tt0078788/,movie,8.5,147,1979,"Drama, War",535853,1979-05-19,Francis Ford Coppola
37,tt0056592,2014-04-07,2014-04-07,,To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,movie,8.3,129,1962,"Crime, Drama",265906,1962-12-25,Robert Mulligan
38,tt0050825,2014-04-07,2014-04-07,,Paths of Glory,https://www.imdb.com/title/tt0050825/,movie,8.4,88,1957,"Drama, War",151956,1957-11-01,Stanley Kubrick
39,tt0041959,2014-04-07,2014-04-07,,The Third Man,https://www.imdb.com/title/tt0041959/,movie,8.2,104,1949,"Film-Noir, Mystery, Thriller",140587,1949-09-01,Carol Reed
40,tt0253474,2014-04-07,2014-04-07,,The Pianist,https://www.imdb.com/title/tt0253474/,movie,8.5,150,2002,"Biography, Drama, Music, War",623644,2002-05-24,Roman Polanski
41,tt0137523,2014-04-07,2014-04-07,,Fight Club,https://www.imdb.com/title/tt0137523/,movie,8.8,139,1999,Drama,1636739,1999-09-10,David Fincher
42,tt0245429,2014-04-07,2014-04-07,,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/,movie,8.6,125,2001,"Animation, Adventure, Family, Fantasy, Mystery",540142,2001-07-20,"Hayao Miyazaki, Kirk Wise"
43,tt0075314,2014-04-07,2014-04-07,,Taxi Driver,https://www.imdb.com/title/tt0075314/,movie,8.3,114,1976,"Crime, Drama",621031,1976-02-07,Martin Scorsese
44,tt0045152,2014-04-07,2014-04-07,,Singin' in the Rain,https://www.imdb.com/title/tt0045152/,movie,8.3,103,1952,"Comedy, Musical, Romance",191292,1952-03-27,"Gene Kelly, Stanley Donen"
45,tt0036775,2014-04-07,2014-04-07,,Double Indemnity,https://www.imdb.com/title/tt0036775/,movie,8.3,107,1944,"Crime, Drama, Film-Noir, Mystery, Thriller",124086,1944-07-03,Billy Wilder
46,tt0082096,2014-04-07,2014-04-07,,Das Boot,https://www.imdb.com/title/tt0082096/,movie,8.4,149,1981,"Adventure, Drama, Thriller, War",204435,1981-09-17,Wolfgang Petersen
47,tt0053291,2014-04-07,2014-04-07,,Some Like It Hot,https://www.imdb.com/title/tt0053291/,movie,8.2,121,1959,"Comedy, Romance",215036,1959-03-19,Billy Wilder
48,tt0071315,2014-04-07,2014-04-07,,Chinatown,https://www.imdb.com/title/tt0071315/,movie,8.2,130,1974,"Drama, Mystery, Thriller",260693,1974-06-20,Roman Polanski
49,tt0022100,2014-04-07,2014-04-07,,M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,movie,8.3,117,1931,"Crime, Mystery, Thriller",124191,1931-05-11,Fritz Lang
50,tt0042876,2014-04-07,2014-04-07,,Rashômon,https://www.imdb.com/title/tt0042876/,movie,8.3,88,1950,"Crime, Drama, Mystery",130495,1950-08-26,Akira Kurosawa
51,tt0119488,2014-04-07,2014-04-07,,L.A. Confidential,https://www.imdb.com/title/tt0119488/,movie,8.3,138,1997,"Crime, Drama, Mystery, Thriller",484631,1997-05-14,Curtis Hanson
52,tt0042192,2014-04-07,2014-04-07,,All About Eve,https://www.imdb.com/title/tt0042192/,movie,8.3,138,1950,Drama,105086,1950-10-13,Joseph L. Mankiewicz
53,tt0114369,2014-04-07,2014-04-07,,Se7en,https://www.imdb.com/title/tt0114369/,movie,8.6,127,1995,"Crime, Drama, Mystery, Thriller",1252471,1995-09-15,David Fincher
54,tt0033870,2014-04-07,2014-04-07,,The Maltese Falcon,https://www.imdb.com/title/tt0033870/,movie,8.1,100,1941,"Film-Noir, Mystery",137971,1941-10-03,John Huston
55,tt0050212,2014-04-07,2014-04-07,,The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,movie,8.2,161,1957,"Adventure, Drama, War",182835,1957-10-02,David Lean
56,tt0180093,2014-04-07,2014-04-07,,Requiem for a Dream,https://www.imdb.com/title/tt0180093/,movie,8.3,102,2000,Drama,686010,2000-05-14,Darren Aronofsky
57,tt0071853,2014-04-07,2014-04-07,,Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,movie,8.3,91,1975,"Adventure, Comedy, Fantasy",451650,1975-03-14,"Terry Jones, Terry Gilliam"
58,tt0266697,2014-04-07,2014-04-07,,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,movie,8.1,111,2003,"Action, Crime, Thriller",884431,2003-09-29,Quentin Tarantino
59,tt0081398,2014-04-07,2014-04-07,,Raging Bull,https://www.imdb.com/title/tt0081398/,movie,8.2,129,1980,"Biography, Drama, Sport",281818,1980-11-13,Martin Scorsese
60,tt0120815,2014-04-07,2014-04-07,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1080162,1998-07-21,Steven Spielberg
61,tt0078748,2014-04-07,2014-04-07,,Alien,https://www.imdb.com/title/tt0078748/,movie,8.5,116,1979,"Horror, Sci-Fi",696338,1979-05-25,Ridley Scott
62,tt0110413,2014-04-07,2014-04-07,,Léon,https://www.imdb.com/title/tt0110413/,movie,8.6,110,1994,"Crime, Drama, Thriller",899530,1994-09-14,Luc Besson
63,tt0120586,2014-04-07,2014-04-07,,American History X,https://www.imdb.com/title/tt0120586/,movie,8.5,119,1998,Drama,931213,1998-10-30,Tony Kaye
64,tt0056218,2014-04-07,2014-04-07,,The Manchurian Candidate,https://www.imdb.com/title/tt0056218/,movie,8.0,126,1962,"Drama, Thriller",66909,1962-10-24,John Frankenheimer
65,tt0027977,2014-04-07,2014-04-07,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",184557,1936-02-05,Charles Chaplin
66,tt0031679,2014-04-07,2014-04-07,,Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/,movie,8.2,129,1939,"Comedy, Drama",96479,1939-10-17,Frank Capra
67,tt0040897,2014-04-07,2014-04-07,,The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,movie,8.2,126,1948,"Adventure, Drama, Western",99618,1948-01-15,John Huston
68,tt0032138,2014-04-07,2014-04-07,,The Wizard of Oz,https://www.imdb.com/title/tt0032138/,movie,8.0,102,1939,"Adventure, Family, Fantasy, Musical",345590,1939-08-11,"Mervyn LeRoy, George Cukor, Norman Taurog, King Vidor, Victor Fleming"
69,tt0070735,2014-04-07,2014-04-07,,The Sting,https://www.imdb.com/title/tt0070735/,movie,8.3,129,1973,"Comedy, Crime, Drama",214559,1973-12-25,George Roy Hill
70,tt0047296,2014-04-07,2014-04-07,,On the Waterfront,https://www.imdb.com/title/tt0047296/,movie,8.2,108,1954,"Crime, Drama, Thriller",126181,1954-06-22,Elia Kazan
71,tt0118799,2014-04-07,2014-04-07,,La vita è bella,https://www.imdb.com/title/tt0118799/,movie,8.6,116,1997,"Comedy, Drama, Romance, War",536657,1997-12-20,Roberto Benigni
72,tt0089881,2014-04-07,2014-04-07,,Ran,https://www.imdb.com/title/tt0089881/,movie,8.2,162,1985,"Action, Drama",97586,1985-05-25,Akira Kurosawa
73,tt0066921,2014-04-07,2014-04-07,,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",673099,1971-12-19,Stanley Kubrick
74,tt0052311,2014-04-07,2014-04-07,,Touch of Evil,https://www.imdb.com/title/tt0052311/,movie,8.0,95,1958,"Crime, Drama, Film-Noir, Thriller",91572,1958-02-28,Orson Welles
75,tt0105236,2014-04-07,2014-04-07,,Reservoir Dogs,https://www.imdb.com/title/tt0105236/,movie,8.3,99,1992,"Crime, Drama, Thriller",803269,1992-01-21,Quentin Tarantino
76,tt0062622,2014-04-07,2014-04-07,,2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,movie,8.3,149,1968,"Adventure, Sci-Fi",528599,1968-04-02,Stanley Kubrick
77,tt0086879,2014-04-07,2014-04-07,,Amadeus,https://www.imdb.com/title/tt0086879/,movie,8.3,160,1984,"Biography, Drama, History, Music",329256,1984-09-06,Milos Forman
78,tt0057115,2014-04-07,2014-04-07,,The Great Escape,https://www.imdb.com/title/tt0057115/,movie,8.2,172,1963,"Adventure, Drama, History, Thriller, War",201286,1963-06-20,John Sturges
79,tt0053604,2014-04-07,2014-04-07,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",139629,1960-06-15,Billy Wilder
80,tt0266543,2014-04-07,2014-04-07,,Finding Nemo,https://www.imdb.com/title/tt0266543/,movie,8.1,100,2003,"Animation, Adventure, Comedy, Family",847673,2003-05-30,"Andrew Stanton, Lee Unkrich"
81,tt0021749,2014-04-07,2014-04-07,,City Lights,https://www.imdb.com/title/tt0021749/,movie,8.5,87,1931,"Comedy, Drama, Romance",142139,1931-01-30,Charles Chaplin
82,tt0017136,2014-04-07,2014-04-07,,Metropolis,https://www.imdb.com/title/tt0017136/,movie,8.3,153,1927,"Drama, Sci-Fi",139684,1927-01-10,Fritz Lang
83,tt0075686,2014-04-07,2014-04-07,,Annie Hall,https://www.imdb.com/title/tt0075686/,movie,8.0,93,1977,"Comedy, Romance",233182,1977-03-27,Woody Allen
84,tt0073195,2014-04-07,2014-04-07,,Jaws,https://www.imdb.com/title/tt0073195/,movie,8.0,124,1975,"Adventure, Drama, Thriller",499337,1975-06-20,Steven Spielberg
85,tt0090605,2014-04-07,2014-04-07,,Aliens,https://www.imdb.com/title/tt0090605/,movie,8.4,137,1986,"Action, Adventure, Sci-Fi, Thriller",588032,1986-07-14,James Cameron
86,tt0044706,2014-04-07,2014-04-07,,High Noon,https://www.imdb.com/title/tt0044706/,movie,8.0,85,1952,"Action, Drama, Thriller, Western",89138,1952-05-01,Fred Zinnemann
87,tt0081505,2014-04-07,2014-04-07,,The Shining,https://www.imdb.com/title/tt0081505/,movie,8.4,146,1980,"Drama, Horror",759600,1980-05-23,Stanley Kubrick
88,tt0112573,2014-04-07,2014-04-07,,Braveheart,https://www.imdb.com/title/tt0112573/,movie,8.4,178,1995,"Biography, Drama, History, War",875528,1995-05-18,Mel Gibson
89,tt0050976,2014-04-07,2014-04-07,,Det sjunde inseglet,https://www.imdb.com/title/tt0050976/,movie,8.2,96,1957,"Drama, Fantasy",140164,1957-02-16,Ingmar Bergman
90,tt0116282,2014-04-07,2014-04-07,,Fargo,https://www.imdb.com/title/tt0116282/,movie,8.1,98,1996,"Crime, Drama, Thriller",550287,1996-03-08,"Joel Coen, Ethan Coen"
91,tt0190332,2014-04-07,2014-04-07,,Wo hu cang long,https://www.imdb.com/title/tt0190332/,movie,7.9,120,2000,"Action, Adventure, Fantasy, Romance",237088,2000-05-18,Ang Lee
92,tt0044079,2014-04-07,2014-04-07,,Strangers on a Train,https://www.imdb.com/title/tt0044079/,movie,8.0,101,1951,"Crime, Film-Noir, Thriller",112197,1951-06-30,Alfred Hitchcock
93,tt0017925,2014-04-07,2014-04-07,,The General,https://www.imdb.com/title/tt0017925/,movie,8.2,67,1926,"Action, Adventure, Comedy, Drama, War, Western",70175,1926-12-31,"Buster Keaton, Clyde Bruckman"
94,tt0246578,2014-04-07,2014-04-07,,Donnie Darko,https://www.imdb.com/title/tt0246578/,movie,8.1,113,2001,"Drama, Sci-Fi, Thriller",686136,2001-01-19,Richard Kelly
95,tt0095765,2014-04-07,2014-04-07,,Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,movie,8.5,155,1988,Drama,195452,1988-09-29,Giuseppe Tornatore
96,tt0032553,2014-04-07,2014-04-07,,The Great Dictator,https://www.imdb.com/title/tt0032553/,movie,8.5,125,1940,"Comedy, Drama, War",175465,1940-10-15,Charles Chaplin
97,tt0083658,2014-04-07,2014-04-07,,Blade Runner,https://www.imdb.com/title/tt0083658/,movie,8.2,117,1982,"Sci-Fi, Thriller",613993,1982-06-25,Ridley Scott
