name,x,y,weight,group
Not stated,AN,Not stated,669,Not stated
Not stated,AP,Not stated,404100,Not stated
Not stated,AR,Not stated,6648,Not stated
Not stated,AS,Not stated,50873,Not stated
Not stated,BR,Not stated,252127,Not stated
Not stated,CH,Not stated,1014,Not stated
Not stated,CT,Not stated,23262,Not stated
Not stated,DD,Not stated,245,Not stated
Not stated,DL,Not stated,13606,Not stated
Not stated,DN,Not stated,487,Not stated
Not stated,GA,Not stated,3039,Not stated
Not stated,GJ,Not stated,57902,Not stated
Not stated,HP,Not stated,8094,Not stated
Not stated,HR,Not stated,42212,Not stated
Not stated,JK,Not stated,20082,Not stated
Not stated,JH,Not stated,68343,Not stated
Not stated,KA,Not stated,166087,Not stated
Not stated,KL,Not stated,88155,Not stated
Not stated,LD,Not stated,64,Not stated
Not stated,MH,Not stated,286290,Not stated
Not stated,ML,Not stated,9578,Not stated
Not stated,MN,Not stated,10969,Not stated
Not stated,MP,Not stated,97625,Not stated
Not stated,MZ,Not stated,1026,Not stated
Not stated,NL,Not stated,2316,Not stated
Not stated,OR,Not stated,76919,Not stated
Not stated,PB,Not stated,87564,Not stated
Not stated,PY,Not stated,2122,Not stated
Not stated,RJ,Not stated,67713,Not stated
Not stated,SK,Not stated,1828,Not stated
Not stated,TN,Not stated,188586,Not stated
Not stated,TR,Not stated,5261,Not stated
Not stated,UP,Not stated,582622,Not stated
Not stated,UT,Not stated,11608,Not stated
Not stated,WB,Not stated,228267,Not stated
Muslim,JK,Muslim,8567485,Muslim
Muslim,HP,Muslim,149881,Muslim
Muslim,PB,Muslim,535489,Muslim
Muslim,CH,Muslim,51447,Muslim
Muslim,UT,Muslim,1406825,Muslim
Muslim,HR,Muslim,1781342,Muslim
Muslim,DL,Muslim,2158684,Muslim
Muslim,RJ,Muslim,6215377,Muslim
Muslim,UP,Muslim,38483967,Muslim
Muslim,BR,Muslim,17557809,Muslim
Muslim,SK,Muslim,9867,Muslim
Muslim,AR,Muslim,27045,Muslim
Muslim,NL,Muslim,48963,Muslim
Muslim,MN,Muslim,239836,Muslim
Muslim,MZ,Muslim,14832,Muslim
Muslim,TR,Muslim,316042,Muslim
Muslim,ML,Muslim,130399,Muslim
Muslim,AS,Muslim,10679345,Muslim
Muslim,WB,Muslim,24654825,Muslim
Muslim,JH,Muslim,4793994,Muslim
Muslim,OR,Muslim,911670,Muslim
Muslim,CT,Muslim,514998,Muslim
Muslim,MP,Muslim,4774695,Muslim
Muslim,GJ,Muslim,5846761,Muslim
Muslim,DD,Muslim,19277,Muslim
Muslim,DN,Muslim,12922,Muslim
Muslim,MH,Muslim,12971152,Muslim
Muslim,AP,Muslim,8082412,Muslim
Muslim,KA,Muslim,7893065,Muslim
Muslim,GA,Muslim,121564,Muslim
Muslim,LD,Muslim,62268,Muslim
Muslim,KL,Muslim,8873472,Muslim
Muslim,TN,Muslim,4229479,Muslim
Muslim,PY,Muslim,75556,Muslim
Muslim,AN,Muslim,32413,Muslim
Christian,JK,Christian,35631,Christian
Christian,HP,Christian,12646,Christian
Christian,PB,Christian,348230,Christian
Christian,CH,Christian,8720,Christian
Christian,UT,Christian,37781,Christian
Christian,HR,Christian,50353,Christian
Christian,DL,Christian,146093,Christian
Christian,RJ,Christian,96430,Christian
Christian,UP,Christian,356448,Christian
Christian,BR,Christian,129247,Christian
Christian,SK,Christian,60522,Christian
Christian,AR,Christian,418732,Christian
Christian,NL,Christian,1739651,Christian
Christian,MN,Christian,1179043,Christian
Christian,MZ,Christian,956331,Christian
Christian,TR,Christian,159882,Christian
Christian,ML,Christian,2213027,Christian
Christian,AS,Christian,1165867,Christian
Christian,WB,Christian,658618,Christian
Christian,JH,Christian,1418608,Christian
Christian,OR,Christian,1161708,Christian
Christian,CT,Christian,490542,Christian
Christian,MP,Christian,213282,Christian
Christian,GJ,Christian,316178,Christian
Christian,DD,Christian,2820,Christian
Christian,DN,Christian,5113,Christian
Christian,MH,Christian,1080073,Christian
Christian,AP,Christian,1129784,Christian
Christian,KA,Christian,1142647,Christian
Christian,GA,Christian,366130,Christian
Christian,LD,Christian,317,Christian
Christian,KL,Christian,6141269,Christian
Christian,TN,Christian,4418331,Christian
Christian,PY,Christian,78550,Christian
Christian,AN,Christian,80984,Christian
Sikh,JK,Sikh,234848,Sikh
Sikh,HP,Sikh,79896,Sikh
Sikh,PB,Sikh,16004754,Sikh
Sikh,CH,Sikh,138329,Sikh
Sikh,UT,Sikh,236340,Sikh
Sikh,HR,Sikh,1243752,Sikh
Sikh,DL,Sikh,570581,Sikh
Sikh,RJ,Sikh,872930,Sikh
Sikh,UP,Sikh,643500,Sikh
Sikh,BR,Sikh,23779,Sikh
Sikh,SK,Sikh,1868,Sikh
Sikh,AR,Sikh,3287,Sikh
Sikh,NL,Sikh,1890,Sikh
Sikh,MN,Sikh,1527,Sikh
Sikh,MZ,Sikh,286,Sikh
Sikh,TR,Sikh,1070,Sikh
Sikh,ML,Sikh,3045,Sikh
Sikh,AS,Sikh,20672,Sikh
Sikh,WB,Sikh,63523,Sikh
Sikh,JH,Sikh,71422,Sikh
Sikh,OR,Sikh,21991,Sikh
Sikh,CT,Sikh,70036,Sikh
Sikh,MP,Sikh,151412,Sikh
Sikh,GJ,Sikh,58246,Sikh
Sikh,DD,Sikh,172,Sikh
Sikh,DN,Sikh,217,Sikh
Sikh,MH,Sikh,223247,Sikh
Sikh,AP,Sikh,40244,Sikh
Sikh,KA,Sikh,28773,Sikh
Sikh,GA,Sikh,1473,Sikh
Sikh,LD,Sikh,8,Sikh
Sikh,KL,Sikh,3814,Sikh
Sikh,TN,Sikh,14601,Sikh
