Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,CoverLink,Year
199798868,"Long Island (Eilis Lacey, #2)",Colm Tóibín,"Tóibín, Colm",,"=""1476785112""","=""9781476785110""",3,3.76,Scribner,Hardcover,294,2024,2024,2024/12/26,2024/12/26,,,read,,,,1,0,1715358955l,2024
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",0,4.41,Random House,Kindle Edition,208,2016,2016,,2024/11/19,to-read,to-read (#37),to-read,,,,0,0,#N/A,#N/A
4806,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,Dava Sobel,"Sobel, Dava",Neil Armstrong,"=""0802714625""","=""9780802714626""",3,3.98,Walker Books,Hardcover,184,2005,1995,2024/11/07,2024/09/10,,,read,,,,1,0,1388462711l,2024
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",5,4.04,W.W. Norton & Company,Paperback,498,2005,1997,2024/11/04,2019/11/15,,,read,,,,1,0,1453215833l,2024
76334,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,"Tolle, Eckhart",,"=""0452287588""","=""9780452287587""",2,4.16,Plume,Paperback,316,2006,2005,2024/10/25,2024/10/24,,,read,,,,1,0,1388206232l,2024
61771675,Hello Beautiful,Ann Napolitano,"Napolitano, Ann",,"=""""","=""""",3,4.15,The Dial Press,Kindle Edition,416,2023,2023,2024/09/21,2024/09/21,,,read,,,,1,0,1687803098l,2024
17899948,Rebecca,Daphne du Maurier,"Maurier, Daphne du",,"=""0316323705""","=""9780316323703""",4,4.25,"Little, Brown and Company",Kindle Edition,449,2013,1938,2024/09/10,2024/09/10,,,read,"I've had the good fortune of reading this book without being aware of the cultural baggage it already carries. I wish I just hadn't read in the description that it was a ""gothic"" romance book. Having my own nebulous ideas of what gothic means, I left scratching my head as to what was gothic in this book. The first half is rather slow and laborious but the second half of the book becomes increasingly captivating as we reach the end. I guess I will remember it as a classic read.",,,1,0,1386605169l,2024
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",5,4.18,Doubleday,Hardcover,331,2023,2023,2024/09/09,2024/09/09,,,read,This may be the best narrative fiction I read yet. I didn't even realise that even fiction can be such page-turners. David Granna clearly has an absolute knack for engaging the reader through well thought out narrative strucure while also basing everything on meticulous research.,,,1,0,1659407155l,2024
16071764,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,"Sandberg, Sheryl",,"=""0385349947""","=""9780385349949""",2,3.95,Knopf,Hardcover,217,2013,2013,2024/09/15,2024/09/15,,,read,"This book felt like a long speech with a lot of rhetoric. It should've been replete with many more facts, data and anecdotes. It didn't need to be a 200 page book in its present form.",,,1,0,1630483761l,2024
32307358,"Origin (Robert Langdon, #5)",Dan    Brown,"Brown, Dan",,"=""""","=""""",4,3.89,Doubleday ,Kindle Edition,482,2017,2017,,2024/09/11,,,read,,,,0,0,#N/A,2019
67100,The Calcutta Chromosome,Amitav Ghosh,"Ghosh, Amitav",,"=""0380813947""","=""9780380813940""",0,3.48,Harper Perennial,Paperback,320,2001,1996,,2024/09/07,to-read,to-read (#36),to-read,,,,0,0,#N/A,Err:502
524116,Six Records of a Floating Life,Shěn Fù,"Fù, Shěn","Leonard Pratt, Chiang Su-Hui","=""0140444297""","=""9780140444292""",3,3.84,Penguin Classics,Paperback,171,2004,1809,2024/08/20,2024/08/20,,,read,,,,1,0,1348155711l,2024
54983,Oranges,John McPhee,"McPhee, John",,"=""0141182032""","=""9780141182032""",2,4.04,Penguin,Paperback,160,2000,1967,2024/08/17,2024/08/18,,,read,,,,1,0,1332100962l,2024
199427081,How Learning Happens: Seminal Works in Educational Psychology and What They Mean in Practice,Paul A. Kirschner,"Kirschner, Paul A.",Carl Hendrick,"=""1003849369""","=""9781003849360""",4,4.43,Routledge,Kindle Edition,416,2024,,2024/08/14,2024/08/14,,,read,,,,1,0,1719704669l,2024
61102803,Invention and Innovation: A Brief History of Hype and Failure,Vaclav Smil,"Smil, Vaclav",,"=""0262048051""","=""9780262048057""",3,3.87,The MIT Press,Hardcover,232,2023,2023,2024/08/03,2024/01/21,,,read,,,,1,0,1660590317l,2024
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",4,4.1,Dial Press,Paperback,275,1999,1969,2024/07/20,2024/07/18,,,read,,,,1,0,1440319389l,2024
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,"=""0141026162""","=""9780141026169""",4,4.09,Penguin,Paperback,466,2006,1986,2024/06/29,2024/06/28,,,read,,,,1,0,1553577503l,2024
35074096,"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,"=""0718188721""","=""9780718188726""",4,4.26,Michael Joseph,Hardcover,416,2017,2017,2024/06/08,2024/06/08,,,read,,,,1,0,1502518360l,2024
17265065,Our Moon Has Blood Clots: The Exodus of the Kashmiri Pandits,Rahul Pandita,"Pandita, Rahul",,"=""8184000871""","=""9788184000870""",3,4.26,Random House India,Hardcover,258,2013,2013,2023/11/08,2023/11/08,,,read,,,,1,0,1358763330l,2023
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""""","=""""",2,3.92,Ace,Paperback,525,1991,1961,2023/11/02,2023/11/08,,,read,,,,1,0,1156897088l,2023
350281,"Indian Mythology: Tales, Symbols, and Rituals from the Heart of the Subcontinent",Devdutt Pattanaik,"Pattanaik, Devdutt",,"=""0892818700""","=""9780892818709""",3,3.83,Inner Traditions,Paperback,216,2003,2003,2015/12/21,2015/12/21,,,read,,,,1,0,1418615120l,2015
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",0,4.3,Harriman House,Paperback,252,2020,2020,,2023/07/13,to-read,to-read (#35),to-read,,,,0,0,#N/A,Err:502
1052,The Richest Man in Babylon,George S. Clason,"Clason, George S.",,"=""0451205367""","=""9780451205360""",0,4.24,Berkley Books,Paperback,194,2002,1926,,2023/07/13,to-read,to-read (#34),to-read,,,,0,0,#N/A,Err:502
354783,Mendeleyev's Dream,Paul Strathern,"Strathern, Paul",,"=""0425184676""","=""9780425184677""",5,4.01,Berkley Trade,Trade Paperback,309,2002,2001,2023/05/24,2023/05/24,,,read,,,,1,0,1309212181l,2023
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",3,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,2023/05/07,2023/05/12,,,read,,,,1,0,1562761669l,2023
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",4,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,2023/05/01,2023/04/30,,,read,,,,1,0,1603206535l,2023
