Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt1155592,2018-09-26,2018-09-26,,"Man on Wire","Man on Wire",https://www.imdb.com/title/tt1155592/,Movie,7.7,94,2008,"Documentary, Biography, Crime, History, Sport, Thriller",59115,2008-08-29,"James Marsh",9,2013-03-20
2,tt1185616,2018-09-26,2018-09-26,,"Waltz with Bashir","Vals Im Bashir",https://www.imdb.com/title/tt1185616/,Movie,8.0,90,2008,"Documentary, Animation, Biography, Drama, History, Mystery, War",60904,2008-06-12,"Ari Folman",10,2018-09-26
3,tt1385956,2018-09-26,2018-09-26,,"Particle Fever","Particle Fever",https://www.imdb.com/title/tt1385956/,Movie,7.4,99,2013,"Documentary",7626,2014-09-03,"Mark Levinson",9,2016-09-04
4,tt1945228,2018-09-26,2018-09-26,,"Voyage of Time: Life's Journey","Voyage of Time: Life's Journey",https://www.imdb.com/title/tt1945228/,Movie,6.5,90,2016,"Documentary, Drama",5521,2017-05-04,"Terrence Malick",9,2017-12-16
5,tt2258685,2018-09-26,2018-09-26,,"The World Before Her","The World Before Her",https://www.imdb.com/title/tt2258685/,Movie,7.6,90,2012,"Documentary",865,2014-04-08,"Nisha Pahuja",9,2016-09-04
6,tt0312318,2018-09-26,2018-09-26,,"9/11","9/11",https://www.imdb.com/title/tt0312318/,TV Movie,8.5,112,2002,"Documentary",8737,2002-03-10,"James Hanlon, Gédéon Naudet, Jules Naudet",9,2018-09-02
7,tt3279124,2018-09-26,2018-09-26,,"Last Days in Vietnam","Last Days in Vietnam",https://www.imdb.com/title/tt3279124/,Movie,7.6,98,2014,"Documentary, History, War",4136,2016-11-25,"Rory Kennedy",8,2018-09-13
8,tt3415772,2018-09-26,2018-09-26,,"PQ17: An Arctic Convoy Disaster","PQ17: An Arctic Convoy Disaster",https://www.imdb.com/title/tt3415772/,TV Movie,8.4,60,2014,"Documentary, War",315,2014-01-02,"Richard Pearson",10,2014-02-18
9,tt0379557,2018-09-26,2018-09-26,,"Touching the Void","Touching the Void",https://www.imdb.com/title/tt0379557/,Movie,8.0,106,2003,"Documentary, Adventure, Drama, Sport",38474,2004-03-12,"Kevin Macdonald",9,2016-09-21
10,tt4058426,2018-09-26,2018-09-26,,"Storyville: India's Daughter","Storyville: India's Daughter",https://www.imdb.com/title/tt4058426/,TV Episode,8.2,63,2015,"Documentary, Biography",2245,2015-03-04,"Leslee Udwin",8,2017-04-16
