Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt9033692,2020-10-19,2020-10-19,,"Dangerous Dave","Dangerous Dave",https://www.imdb.com/title/tt9033692/,Video Game,7.7,,1988,"Adventure",32,1988-10,"John Romero",10,2021-09-07
2,tt1852745,2020-10-19,2020-10-19,,"Braid","Braid",https://www.imdb.com/title/tt1852745/,Video Game,8.2,,2008,"Action, Adventure, Fantasy",1027,2008-08-06,"Jonathan Blow",10,2021-09-07
3,tt1754134,2020-10-19,2020-10-19,,"Limbo","Limbo",https://www.imdb.com/title/tt1754134/,Video Game,8.2,,2010,"Adventure, Horror, Mystery",6616,2010-08-21,"Arnt Jensen",10,2021-09-07
4,tt3980364,2020-10-19,2020-10-19,,"Inside","Inside",https://www.imdb.com/title/tt3980364/,Video Game,8.7,,2016,"Adventure, Horror, Mystery, Sci-Fi",4981,2016-06-29,"Arnt Jensen",9,2021-09-07
5,tt0291337,2020-10-19,2020-10-19,,"Max Payne","Max Payne",https://www.imdb.com/title/tt0291337/,Video Game,9.2,,2001,"Action, Crime, Drama, Mystery, Thriller",16591,2001-07-23,,8,2021-09-07
6,tt0366758,2020-10-19,2020-10-19,,"Max Payne 2: The Fall of Max Payne","Max Payne 2: The Fall of Max Payne",https://www.imdb.com/title/tt0366758/,Video Game,9.1,,2003,"Action, Crime, Drama, Mystery, Thriller",11817,2003-10-14,,8,2021-09-07
7,tt0314123,2020-10-19,2020-10-19,,"Grand Theft Auto: Vice City","Grand Theft Auto: Vice City",https://www.imdb.com/title/tt0314123/,Video Game,9.2,,2002,"Action, Crime",30167,2002-10-29,,9,2021-09-07
8,tt0383385,2020-10-19,2020-10-19,,"Grand Theft Auto: San Andreas","Grand Theft Auto: San Andreas",https://www.imdb.com/title/tt0383385/,Video Game,9.4,,2004,"Action, Crime",45638,2004-10-26,,10,2021-09-07
9,tt1127708,2020-10-19,2020-10-19,,"Portal","Portal",https://www.imdb.com/title/tt1127708/,Video Game,9.1,,2007,"Adventure, Comedy, Sci-Fi",14766,2007-10-10,,9,2021-09-07
10,tt1648163,2020-10-19,2020-10-19,,"Portal 2","Portal 2",https://www.imdb.com/title/tt1648163/,Video Game,9.4,,2011,"Adventure, Comedy, Sci-Fi",18159,2011-04-19,,9,2021-09-07
11,tt2136885,2020-10-19,2020-10-19,,"Driver: San Francisco","Driver: San Francisco",https://www.imdb.com/title/tt2136885/,Video Game,7.6,,2011,"Action, Crime, Thriller",943,2011-09-06,"Martin Edmondson",8,2021-09-07
12,tt0462448,2020-10-19,2020-10-19,,"Need for Speed: Most Wanted","Need for Speed: Most Wanted",https://www.imdb.com/title/tt0462448/,Video Game,8.7,,2005,"Action, Crime, Sport",7988,2005-11,"Dave 'Foots' Footman, Scott Henshaw",9,2021-09-07
13,tt0390296,2020-10-19,2020-10-19,,"Need for Speed: Underground","Need for Speed: Underground",https://www.imdb.com/title/tt0390296/,Video Game,7.9,,2003,"Action, Crime, Sport",3566,2003-11-17,,7,2021-09-07
14,tt0790814,2020-10-19,2020-10-19,,"Need for Speed: Carbon","Need for Speed: Carbon",https://www.imdb.com/title/tt0790814/,Video Game,7.4,,2006,"Action, Crime, Sport",4061,2006-11-01,"Dave 'Foots' Footman",8,2021-09-07
15,tt1776254,2020-10-19,2020-10-19,,"Need for Speed: Hot Pursuit","Need for Speed: Hot Pursuit",https://www.imdb.com/title/tt1776254/,Video Game,7.4,,2010,"Action, Crime, Sport",2369,2010-11-16,"Fiona Sperry, Craig Sullivan",7,2021-09-07
16,tt2186922,2020-10-19,2020-10-19,,"Need for Speed: Most Wanted","Need for Speed: Most Wanted",https://www.imdb.com/title/tt2186922/,Video Game,7.0,,2012,"Action, Crime, Sport",2344,2012-10-30,,8,2021-09-07
17,tt2134107,2020-10-19,2020-10-19,,"Need for Speed: The Run","Need for Speed: The Run",https://www.imdb.com/title/tt2134107/,Video Game,7.1,,2011,"Action, Crime, Sport",1819,2011-11-15,"Alex De Rakoff, Elin Anderson",8,2021-09-07
18,tt1621771,2020-10-19,2020-10-19,,"Blur","Blur",https://www.imdb.com/title/tt1621771/,Video Game,7.3,,2010,"Action, Sport",472,2010-05-25,"James D. Mortellaro",7,2021-09-07
19,tt0932936,2020-10-19,2020-10-19,,"Assassin's Creed","Assassin's Creed",https://www.imdb.com/title/tt0932936/,Video Game,8.0,,2007,"Action, Adventure, Sci-Fi",20687,2007-11-13,,8,2021-09-07
20,tt1699759,2020-10-19,2020-10-19,,"Assassin's Creed: Brotherhood","Assassin's Creed: Brotherhood",https://www.imdb.com/title/tt1699759/,Video Game,8.7,,2010,"Action, Adventure, History, Sci-Fi",17795,2010-11-16,"Sylvain Bernard",8,2021-09-07
21,tt1201133,2020-10-19,2020-10-19,,"Assassin's Creed II","Assassin's Creed II",https://www.imdb.com/title/tt1201133/,Video Game,9.0,,2009,"Action, Adventure, History, Sci-Fi",26430,2009-11-17,"Sylvain Bernard, Shea Wageman",8,2021-09-07
22,tt1964595,2020-10-19,2020-10-19,,"Civilization V","Civilization V",https://www.imdb.com/title/tt1964595/,Video Game,8.5,,2010,"Adventure, History",2057,2010-09-21,,9,2021-09-07
23,tt2124034,2020-10-19,2020-10-19,,"Saints Row: The Third","Saints Row: The Third",https://www.imdb.com/title/tt2124034/,Video Game,8.1,,2011,"Action, Comedy, Crime, Sci-Fi",6850,2011-11-15,"Keith Arem",7,2021-09-07
24,tt6707774,2020-10-19,2020-10-19,,"Monument Valley","Monument Valley",https://www.imdb.com/title/tt6707774/,Video Game,8.3,,2014,"Adventure, Fantasy",387,2014-04-03,"Neil McFarland",7,2021-09-07
25,tt1754190,2020-10-19,2020-10-19,,"Medal of Honor","Medal of Honor",https://www.imdb.com/title/tt1754190/,Video Game,7.2,,2010,"Action, War",2768,2010-10-12,"Tobias Strömvall, Blade Zavier, Sam McGlynn",8,2021-09-07
26,tt0382590,2020-10-19,2020-10-19,,"Call of Duty","Call of Duty",https://www.imdb.com/title/tt0382590/,Video Game,8.5,,2003,"Action, Adventure, War",7648,2003-10-31,"Keith Arem",10,2021-09-07
27,tt1937113,2020-10-19,2020-10-19,,"Call of Duty: Modern Warfare 3","Call of Duty: Modern Warfare 3",https://www.imdb.com/title/tt1937113/,Video Game,8.1,,2011,"Action, Adventure, War",19963,2011-11-08,"Michael Condrey, Glen A. Schofield",9,2021-09-07
28,tt1632479,2020-10-19,2020-10-19,,"Call of Duty: Black Ops","Call of Duty: Black Ops",https://www.imdb.com/title/tt1632479/,Video Game,8.3,,2010,"Action, Adventure, Horror, War",21737,2010-11-09,"Dave Anthony",9,2021-09-07
29,tt1450746,2020-10-19,2020-10-19,,"Call of Duty: Modern Warfare 2","Call of Duty: Modern Warfare 2",https://www.imdb.com/title/tt1450746/,Video Game,8.8,,2009,"Action, Adventure, War",26561,2009-11-10,"Jason West",8,2021-09-07
30,tt0277737,2020-10-30,2020-10-30,,"The House of the Dead","The House of the Dead",https://www.imdb.com/title/tt0277737/,Video Game,7.5,,1996,"Action, Adventure, Horror, Sci-Fi",473,1997-03-04,"Takashi Oda",7,2021-09-07
31,tt0239023,2021-05-03,2021-05-03,,"Half-Life","Half-Life",https://www.imdb.com/title/tt0239023/,Video Game,9.2,,1998,"Action, Sci-Fi, Thriller",11529,1998-11-19,"Gabe Newell, Randy Pitchford",8,2021-05-03
32,tt0374692,2021-07-08,2021-07-08,,"Half-Life 2","Half-Life 2",https://www.imdb.com/title/tt0374692/,Video Game,9.4,,2004,"Action, Adventure, Sci-Fi, Thriller",17888,2004-11-16,"David Speyrer",8,2021-07-08
33,tt3817070,2021-08-17,2021-08-17,,"The Talos Principle","The Talos Principle",https://www.imdb.com/title/tt3817070/,Video Game,8.5,,2014,"Adventure, Drama, Mystery, Sci-Fi",683,2014-12-11,,8,2021-08-17
34,tt2739708,2021-12-31,2021-12-31,,"Assassin's Creed IV: Black Flag","Assassin's Creed IV: Black Flag",https://www.imdb.com/title/tt2739708/,Video Game,8.7,,2013,"Action, Adventure, History, Sci-Fi",20325,2013-10-29,"Ashraf Ismail",9,2021-12-31
35,tt1928116,2022-01-07,2022-01-07,,"Assassin's Creed: Revelations","Assassin's Creed: Revelations",https://www.imdb.com/title/tt1928116/,Video Game,8.2,,2011,"Action, Adventure, History, Sci-Fi",14850,2011-11-15,"Alexandre Amancio",7,2022-01-07
36,tt7028648,2022-01-19,2022-01-19,,"A Plague Tale: Innocence","A Plague Tale: Innocence",https://www.imdb.com/title/tt7028648/,Video Game,8.2,,2019,"Adventure, Drama, History, Horror, Thriller",5179,2019-05-14,"Kevin Choteau, David Dedeine",8,2022-01-19
37,tt2103188,2022-02-05,2022-02-05,,"Grand Theft Auto V","Grand Theft Auto V",https://www.imdb.com/title/tt2103188/,Video Game,9.5,,2013,"Action, Comedy, Crime, Drama",74103,2013-09-17,,10,2022-02-05
38,tt7025920,2022-06-07,2022-06-07,,"Assassin's Creed: Origins","Assassin's Creed: Origins",https://www.imdb.com/title/tt7025920/,Video Game,8.4,,2017,"Action, Adventure, Fantasy, History, Sci-Fi",10705,2017-10-27,"Ashraf Ismail, Laurent Bernier, Jean Guesdon",9,2022-06-07
39,tt8545606,2022-09-10,2022-09-10,,"Assassin's Creed: Odyssey","Assassin's Creed: Odyssey",https://www.imdb.com/title/tt8545606/,Video Game,8.4,,2018,"Action, Adventure, Fantasy, History, Sci-Fi",10168,2018-12-04,"Jonathan Dumont, Scott Phillips, Sophie Ann Rooney",8,2022-09-10
