Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0468569,2021-08-01,2021-08-01,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2411644,2008-07-14,Christopher Nolan,10,2012-01-04
2,tt1345836,2021-08-01,2021-08-01,,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,movie,8.4,164,2012,"Action, Adventure",1573956,2012-07-16,Christopher Nolan,10,2020-09-19
3,tt7366338,2021-08-01,2021-08-01,,Chernobyl,https://www.imdb.com/title/tt7366338/,tvMiniSeries,9.4,330,2019,"Drama, History, Thriller",607365,2019-05-06,,10,2019-06-06
4,tt0097437,2021-08-01,2021-08-01,,Gitanjali,https://www.imdb.com/title/tt0097437/,movie,8.2,150,1989,"Drama, Romance",2443,1989-05-19,Mani Ratnam,8,2020-07-18
5,tt0120735,2021-08-01,2021-08-01,,"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,movie,8.2,107,1998,"Action, Comedy, Crime",553946,1998-08-23,Guy Ritchie,8,2011-12-31
6,tt0120815,2021-08-01,2021-08-01,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1288469,1998-07-21,Steven Spielberg,10,2012-01-04
7,tt0338013,2021-08-01,2021-08-01,,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",945962,2004-03-09,Michel Gondry,10,2020-11-14
8,tt0361748,2021-08-01,2021-08-01,,Inglourious Basterds,https://www.imdb.com/title/tt0361748/,movie,8.3,153,2009,"Adventure, Drama, War",1328696,2009-05-20,Quentin Tarantino,10,2012-01-04
9,tt0372784,2021-08-01,2021-08-01,,Batman Begins,https://www.imdb.com/title/tt0372784/,movie,8.2,140,2005,"Action, Adventure",1356866,2005-05-31,Christopher Nolan,8,2012-01-04
10,tt0443453,2021-08-01,2021-08-01,,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,https://www.imdb.com/title/tt0443453/,movie,7.3,84,2006,Comedy,390429,2006-08-04,Larry Charles,8,2012-01-04
11,tt0816692,2021-08-01,2021-08-01,,Interstellar,https://www.imdb.com/title/tt0816692/,movie,8.6,169,2014,"Adventure, Drama, Sci-Fi",1608008,2014-10-26,Christopher Nolan,7,2019-05-27
12,tt0840361,2021-08-01,2021-08-01,,The Town,https://www.imdb.com/title/tt0840361/,movie,7.5,125,2010,"Crime, Drama, Thriller",366897,2010-09-08,Ben Affleck,6,2021-01-03
13,tt0910936,2021-08-01,2021-08-01,,Pineapple Express,https://www.imdb.com/title/tt0910936/,movie,6.9,111,2008,"Action, Comedy, Crime",325087,2008-07-31,David Gordon Green,8,2012-01-30
14,tt1045658,2021-08-01,2021-08-01,,Silver Linings Playbook,https://www.imdb.com/title/tt1045658/,movie,7.7,122,2012,"Comedy, Drama, Romance",679520,2012-09-08,David O. Russell,8,2013-02-09
15,tt1182345,2021-08-01,2021-08-01,,Moon,https://www.imdb.com/title/tt1182345/,movie,7.8,97,2009,"Drama, Mystery, Sci-Fi",344858,2009-01-23,Duncan Jones,8,2020-03-17
16,tt1375666,2021-08-01,2021-08-01,,Inception,https://www.imdb.com/title/tt1375666/,movie,8.8,148,2010,"Action, Adventure, Sci-Fi, Thriller",2163522,2010-07-08,Christopher Nolan,10,2019-04-05
17,tt1568346,2021-08-01,2021-08-01,,The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/,movie,7.8,158,2011,"Crime, Drama, Mystery, Thriller",438988,2011-12-12,David Fincher,8,2012-03-21
18,tt1675434,2021-08-01,2021-08-01,,Intouchables,https://www.imdb.com/title/tt1675434/,movie,8.5,112,2011,"Biography, Comedy, Drama",794377,2011-09-23,"Olivier Nakache, Éric Toledano",10,2012-11-15
19,tt1723811,2021-08-01,2021-08-01,,Shame,https://www.imdb.com/title/tt1723811/,movie,7.2,101,2011,Drama,189108,2011-09-04,Steve McQueen,9,2012-07-06
20,tt1790885,2021-08-01,2021-08-01,,Zero Dark Thirty,https://www.imdb.com/title/tt1790885/,movie,7.4,157,2012,"Drama, History, Thriller, War",283541,2012-12-10,Kathryn Bigelow,10,2020-09-03
21,tt1954470,2021-08-01,2021-08-01,,Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/,movie,8.2,321,2012,"Action, Crime, Drama, Thriller",89316,2012-05-22,Anurag Kashyap,9,2018-09-30
22,tt2267998,2021-08-01,2021-08-01,,Gone Girl,https://www.imdb.com/title/tt2267998/,movie,8.1,149,2014,"Drama, Mystery, Thriller",904499,2014-09-26,David Fincher,8,2014-12-01
23,tt2884206,2021-08-01,2021-08-01,,I Origins,https://www.imdb.com/title/tt2884206/,movie,7.4,106,2014,"Drama, Mystery, Romance, Sci-Fi",119964,2014-01-18,Mike Cahill,9,2018-05-31
24,tt4034228,2021-08-01,2021-08-01,,Manchester by the Sea,https://www.imdb.com/title/tt4034228/,movie,7.8,137,2016,Drama,260577,2016-01-23,Kenneth Lonergan,10,2019-11-30
25,tt8652728,2021-08-01,2021-08-01,,Waves,https://www.imdb.com/title/tt8652728/,movie,7.6,135,2019,"Drama, Romance, Sport",20969,2019-08-30,Trey Edward Shults,9,2020-03-06
26,tt0407887,2021-08-01,2021-08-01,,The Departed,https://www.imdb.com/title/tt0407887/,movie,8.5,151,2006,"Crime, Drama, Thriller",1237373,2006-09-26,Martin Scorsese,9,2012-01-04
27,tt0477348,2021-08-01,2021-08-01,,No Country for Old Men,https://www.imdb.com/title/tt0477348/,movie,8.1,122,2007,"Crime, Drama, Thriller",897909,2007-05-19,"Ethan Coen, Joel Coen",8,2012-01-04
28,tt1024648,2021-08-01,2021-08-01,,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",589411,2012-08-31,Ben Affleck,8,2013-02-13
29,tt1596363,2021-08-01,2021-08-01,,The Big Short,https://www.imdb.com/title/tt1596363/,movie,7.8,130,2015,"Biography, Comedy, Drama, History",388183,2015-11-12,Adam McKay,8,2016-05-09
30,tt0482571,2021-08-01,2021-08-01,,The Prestige,https://www.imdb.com/title/tt0482571/,movie,8.5,130,2006,"Drama, Mystery, Sci-Fi, Thriller",1241362,2006-10-17,Christopher Nolan,9,2012-01-04
