Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt2384811,2018-10-03,2018-10-03,,"Utopia","Utopia",https://www.imdb.com/title/tt2384811/,TV Series,8.4,50,2013,"Drama, Mystery, Sci-Fi, Thriller",55345,2013-01-15,,9,2015-10-02
2,tt2861424,2018-10-03,2018-10-03,,"Rick and Morty","Rick and Morty",https://www.imdb.com/title/tt2861424/,TV Series,9.0,23,2013,"Animation, Adventure, Comedy, Sci-Fi",687130,2013-12-02,,10,2018-10-03
3,tt4742876,2018-10-03,2018-10-03,,"TVF Pitchers","TVF Pitchers",https://www.imdb.com/title/tt4742876/,TV Series,9.1,40,2015,"Comedy, Drama",79412,2015-06-17,,9,2015-09-06
4,tt2395695,2018-10-03,2018-10-03,,"Cosmos: A Spacetime Odyssey","Cosmos: A Spacetime Odyssey",https://www.imdb.com/title/tt2395695/,TV Mini Series,9.2,45,2014,"Documentary",139570,2014-03-09,,8,2018-10-03
5,tt0383126,2018-10-03,2018-10-03,,"MythBusters","MythBusters",https://www.imdb.com/title/tt0383126/,TV Series,8.3,44,2003,"Documentary, Mystery, Reality-TV",56530,2003-01-23,,7,2018-10-03
6,tt0081846,2018-10-03,2018-10-03,,"Cosmos","Cosmos",https://www.imdb.com/title/tt0081846/,TV Mini Series,9.3,60,1980,"Documentary",53005,1980-09-28,,10,2018-10-03
7,tt6077448,2018-10-03,2018-10-03,,"Sacred Games","Sacred Games",https://www.imdb.com/title/tt6077448/,TV Series,8.5,,2018,"Action, Crime, Drama, Mystery, Thriller",97343,2018-07-06,,7,2018-10-03
8,tt0439100,2018-10-03,2018-10-03,,"Weeds","Weeds",https://www.imdb.com/title/tt0439100/,TV Series,7.9,30,2005,"Comedy, Crime, Drama",122196,2005-08-07,,8,2018-10-03
9,tt1475582,2018-10-03,2018-10-03,,"Sherlock","Sherlock",https://www.imdb.com/title/tt1475582/,TV Series,9.0,90,2010,"Crime, Drama, Mystery, Thriller",1080927,2010-10-24,,9,2018-10-03
10,tt0182576,2018-10-03,2018-10-03,,"Family Guy","Family Guy",https://www.imdb.com/title/tt0182576/,TV Series,8.1,22,1999,"Animation, Comedy",386324,1999-01-31,,9,2018-10-03
11,tt1442437,2018-10-03,2018-10-03,,"Modern Family","Modern Family",https://www.imdb.com/title/tt1442437/,TV Series,8.5,22,2009,"Comedy, Drama, Romance",535345,2009-09-23,,7,2018-10-03
12,tt0108778,2018-10-03,2018-10-03,,"Friends","Friends",https://www.imdb.com/title/tt0108778/,TV Series,8.8,22,1994,"Comedy, Romance",1184035,1994-09-22,,9,2018-10-03
13,tt2707408,2018-10-03,2018-10-03,,"Narcos","Narcos",https://www.imdb.com/title/tt2707408/,TV Series,8.7,50,2015,"Biography, Crime, Drama, Thriller",522622,2015-08-28,,9,2018-10-03
14,tt2356777,2018-10-03,2018-10-03,,"True Detective","True Detective",https://www.imdb.com/title/tt2356777/,TV Series,8.8,60,2014,"Crime, Drama, Mystery, Thriller",745692,2014-01-12,,10,2018-10-03
